sample,sequencing_type,single_end,original_id,completion_date,date,assembly_prefix,nominal_species_id,fastq_1,fastq_2
OG1958,ilmn,false,OG1958,,251215,OG1958.ilmn.251215,Halieutaea sp (orange),/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1958/fastp/OG1958.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1958/fastp/OG1958.ilmn.251215.R2.fastq.gz
OG1959,ilmn,false,OG1959,,251215,OG1959.ilmn.251215,Pterycombus petersi,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1959/fastp/OG1959.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1959/fastp/OG1959.ilmn.251215.R2.fastq.gz
OG1960,ilmn,false,OG1960,,251215,OG1960.ilmn.251215,Doederleina berycoides,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1960/fastp/OG1960.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1960/fastp/OG1960.ilmn.251215.R2.fastq.gz
OG1961,ilmn,false,OG1961,,251215,OG1961.ilmn.251215,Verilus pacificus,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1961/fastp/OG1961.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1961/fastp/OG1961.ilmn.251215.R2.fastq.gz
OG1962,ilmn,false,OG1962,,251215,OG1962.ilmn.251215,Priacanthus fitchi,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1962/fastp/OG1962.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1962/fastp/OG1962.ilmn.251215.R2.fastq.gz
OG1963,ilmn,false,OG1963,,251215,OG1963.ilmn.251215,Xenocephalus australiensis,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1963/fastp/OG1963.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1963/fastp/OG1963.ilmn.251215.R2.fastq.gz
OG1964,ilmn,false,OG1964,,251215,OG1964.ilmn.251215,Coelorinchus sp 3,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1964/fastp/OG1964.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1964/fastp/OG1964.ilmn.251215.R2.fastq.gz
OG1965,ilmn,false,OG1965,,251215,OG1965.ilmn.251215,Polymetme illustris,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1965/fastp/OG1965.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1965/fastp/OG1965.ilmn.251215.R2.fastq.gz
OG1966,ilmn,false,OG1966,,251215,OG1966.ilmn.251215,Acromycter sp 2 (ventral melanophortes),/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1966/fastp/OG1966.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1966/fastp/OG1966.ilmn.251215.R2.fastq.gz
OG1967,ilmn,false,OG1967,,251215,OG1967.ilmn.251215,Dysomma sp 2 (cf longirostrum),/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1967/fastp/OG1967.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1967/fastp/OG1967.ilmn.251215.R2.fastq.gz
OG1968,ilmn,false,OG1968,,251215,OG1968.ilmn.251215,Dipturus wengi,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1968/fastp/OG1968.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1968/fastp/OG1968.ilmn.251215.R2.fastq.gz
OG1969,ilmn,false,OG1969,,251215,OG1969.ilmn.251215,Dipturus apricus,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1969/fastp/OG1969.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1969/fastp/OG1969.ilmn.251215.R2.fastq.gz
OG1970,ilmn,false,OG1970,,251215,OG1970.ilmn.251215,Nettastoma parviceps,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1970/fastp/OG1970.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1970/fastp/OG1970.ilmn.251215.R2.fastq.gz
OG1971,ilmn,false,OG1971,,251215,OG1971.ilmn.251215,Holcomycteronus cf aequatorius,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1971/fastp/OG1971.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1971/fastp/OG1971.ilmn.251215.R2.fastq.gz
OG1972,ilmn,false,OG1972,,251215,OG1972.ilmn.251215,Halosauropsis macrochir,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1972/fastp/OG1972.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1972/fastp/OG1972.ilmn.251215.R2.fastq.gz
OG1973,ilmn,false,OG1973,,251215,OG1973.ilmn.251215,Narcetes sp,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1973/fastp/OG1973.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1973/fastp/OG1973.ilmn.251215.R2.fastq.gz
OG1974,ilmn,false,OG1974,,251215,OG1974.ilmn.251215,Sphagemacrurus pumiliceps,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1974/fastp/OG1974.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1974/fastp/OG1974.ilmn.251215.R2.fastq.gz
OG1975,ilmn,false,OG1975,,251215,OG1975.ilmn.251215,Bathypterois cf oddi,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1975/fastp/OG1975.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1975/fastp/OG1975.ilmn.251215.R2.fastq.gz
OG1976,ilmn,false,OG1976,,251215,OG1976.ilmn.251215,Bassozetus sp (Eretmichthys like),/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1976/fastp/OG1976.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1976/fastp/OG1976.ilmn.251215.R2.fastq.gz
OG1977,ilmn,false,OG1977,,251215,OG1977.ilmn.251215,Oneirodidae,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1977/fastp/OG1977.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1977/fastp/OG1977.ilmn.251215.R2.fastq.gz
OG1978,ilmn,false,OG1978,,251215,OG1978.ilmn.251215,Nesiarchus nasutus,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1978/fastp/OG1978.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1978/fastp/OG1978.ilmn.251215.R2.fastq.gz
OG1979,ilmn,false,OG1979,,251215,OG1979.ilmn.251215,Apristurus sp 2,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1979/fastp/OG1979.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1979/fastp/OG1979.ilmn.251215.R2.fastq.gz
OG1980,ilmn,false,OG1980,,251215,OG1980.ilmn.251215,Apristurus sinensis,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1980/fastp/OG1980.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1980/fastp/OG1980.ilmn.251215.R2.fastq.gz
OG1981,ilmn,false,OG1981,,251215,OG1981.ilmn.251215,Centroscymnus coelolepis,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1981/fastp/OG1981.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1981/fastp/OG1981.ilmn.251215.R2.fastq.gz
OG1982,ilmn,false,OG1982,,251215,OG1982.ilmn.251215,Centroscymnus owstoni,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1982/fastp/OG1982.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1982/fastp/OG1982.ilmn.251215.R2.fastq.gz
OG1983,ilmn,false,OG1983,,251215,OG1983.ilmn.251215,Bathytroctes sp,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1983/fastp/OG1983.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1983/fastp/OG1983.ilmn.251215.R2.fastq.gz
OG1984,ilmn,false,OG1984,,251215,OG1984.ilmn.251215,Rondeletia loricata,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1984/fastp/OG1984.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1984/fastp/OG1984.ilmn.251215.R2.fastq.gz
OG1985,ilmn,false,OG1985,,251215,OG1985.ilmn.251215,Psychrolutes sp,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1985/fastp/OG1985.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1985/fastp/OG1985.ilmn.251215.R2.fastq.gz
OG1986,ilmn,false,OG1986,,251215,OG1986.ilmn.251215,Diastobranchus capensis,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1986/fastp/OG1986.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1986/fastp/OG1986.ilmn.251215.R2.fastq.gz
